NAME	TITLE	SCORE	
MTFMT		1.3858794	
LINC01184		1.3858683	
HOXA3		1.3849308	
HPS6		1.3833832	
TRAPPC1		1.3815358	
ISOC1		1.3790811	
RAB25		1.3788527	
PGBD2		1.378427	
BCAN		1.3779312	
DQX1		1.3768116	
MDFI		1.3740563	
IZUMO4		1.370335	
SMPD2		1.366069	
BCL11B		1.3591328	
POLI		1.3587472	
CYP24A1		1.3586694	
ZNF252P-AS1		1.3563064	
PKIA		1.3557365	
PWAR1		1.3543719	
PARP4		1.3539046	
MASP2		1.350944	
PPP6R1		1.3461272	
LOC256880		1.3448491	
ZNF266		1.3440905	
CCDC39		1.3407376	
TNFRSF1A		1.3398885	
RAB15		1.3386881	
SKP1		1.3337225	
ZNF615		1.3331864	
