userId	geneSymbol	geneName	entrezgene	gLink
IGFBP7	IGFBP7	insulin like growth factor binding protein 7	3490	https://www.ncbi.nlm.nih.gov/gene/?term=3490
IGFL1P1	IGFL1P1	IGF like family member 1 pseudogene 1	727703	https://www.ncbi.nlm.nih.gov/gene/?term=727703
IL1B	IL1B	interleukin 1 beta	3553	https://www.ncbi.nlm.nih.gov/gene/?term=3553
IL36G	IL36G	interleukin 36 gamma	56300	https://www.ncbi.nlm.nih.gov/gene/?term=56300
INPP5D	INPP5D	inositol polyphosphate-5-phosphatase D	3635	https://www.ncbi.nlm.nih.gov/gene/?term=3635
IRF6	IRF6	interferon regulatory factor 6	3664	https://www.ncbi.nlm.nih.gov/gene/?term=3664
ISG20	ISG20	interferon stimulated exonuclease gene 20	3669	https://www.ncbi.nlm.nih.gov/gene/?term=3669
ITGA9-AS1	ITGA9-AS1	ITGA9 antisense RNA 1	101928153	https://www.ncbi.nlm.nih.gov/gene/?term=101928153
ITGB8	ITGB8	integrin subunit beta 8	3696	https://www.ncbi.nlm.nih.gov/gene/?term=3696
JAG1	JAG1	jagged canonical Notch ligand 1	182	https://www.ncbi.nlm.nih.gov/gene/?term=182
JAM2	JAM2	junctional adhesion molecule 2	58494	https://www.ncbi.nlm.nih.gov/gene/?term=58494
KANK4	KANK4	KN motif and ankyrin repeat domains 4	163782	https://www.ncbi.nlm.nih.gov/gene/?term=163782
KATNAL2	KATNAL2	katanin catalytic subunit A1 like 2	83473	https://www.ncbi.nlm.nih.gov/gene/?term=83473
KAZN	KAZN	kazrin, periplakin interacting protein	23254	https://www.ncbi.nlm.nih.gov/gene/?term=23254
KBTBD11	KBTBD11	kelch repeat and BTB domain containing 11	9920	https://www.ncbi.nlm.nih.gov/gene/?term=9920
KCNJ2	KCNJ2	potassium inwardly rectifying channel subfamily J member 2	3759	https://www.ncbi.nlm.nih.gov/gene/?term=3759
KCNJ2-AS1	KCNJ2-AS1	KCNJ2 antisense RNA 1	400617	https://www.ncbi.nlm.nih.gov/gene/?term=400617
KCNK5	KCNK5	potassium two pore domain channel subfamily K member 5	8645	https://www.ncbi.nlm.nih.gov/gene/?term=8645
KDM5D	KDM5D	lysine demethylase 5D	8284	https://www.ncbi.nlm.nih.gov/gene/?term=8284
KHDRBS3	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3	10656	https://www.ncbi.nlm.nih.gov/gene/?term=10656
